漢字,読み
刀,かたな
万,まん
才（天才）,さい（てんさい）
弓,ゆみ
丸い,まるい
工（工場）,こう（こうじょう）
方（夕方）,かた（ゆうがた）
止まる,とまる
今,いま
公（公園）,こう（こうえん）
切る,きる
分ける,わける
元,もと
内,うち
午（午後）,ご（ごご）
太い,ふとい
友（友達）,とも（ともだち）
少ない,すくない
引く,ひく
心,こころ
戸,と（＝ドア）
毛,け
牛,うし
父,ちち
母,はは
兄,あに
冬,ふゆ
古い,ふるい
台,だい
外,そと
北,きた
市（市場）,いち（いちば）
半ば,なかば（＝はんぶん）
広い,ひろい
用いる,もちいる（＝つかう）
矢,や
合う,あう
同じ,おなじ
会う,あう
行く,いく
羽,はね
光,ひかり
色,いろ
多い,おおい
寺,てら
当たる,あたる
池,いけ
回る,まわる
地（地球）,ち（ちきゅう）
毎（毎日）,まい（まいにち）
考える,かんがえる
米,こめ
肉,にく
交わる,まじわる（＝あう、まざる）
自（自分）,じ（じぶん）
西,にし
声,こえ
体,からだ
走る,はしる
里,さと（＝むら）
形,かたち
図（地図）,ず（ちず）
売る,うる
弟,おとうと
何,なに
作る,つくる
角,かど
汽（汽車）,き（きしゃ＝むかしのでんしゃ）
近い,ちかい
来る,くる
社（会社）,しゃ（かいしゃ）
言う,いう
谷,たに
麦,むぎ
歩く,あるく
国,くに
明るい,あかるい
姉,あね
妹,いもうと
夜,よる
岩,いわ
店,みせ
東,ひがし
京（東京）,きょう（とうきょう）
画（映画）,が（えいが）
直す,なおす
知る,しる
長い,ながい
門,もん
思う,おもう
春,はる
秋,あき
風,かぜ
食べる,たべる
星,ほし
活（生活）,かつ（せいかつ）
南,みなみ
計る,はかる
室（教室）,しつ（きょうしつ）
海,うみ
前,まえ
後,あと
茶（お茶）,ちゃ（おちゃ）
昼,ひる
点,てん
科（科学）,か（かがく＝しぜんの べんきょう）
首,くび
高い,たかい
家,いえ
夏,なつ
原,はら
帰る,かえる
弱い,よわい
通る,とおる
時,とき
書く,かく
馬,うま
記す,しるす（＝かく）
紙,かみ
理（理科）,り（りか）
魚,さかな
鳥,とり
週（毎週）,しゅう（まいしゅう）
教える,おしえる
強い,つよい
細い,ほそい
組,くみ
船,ふね
野（野原）,の（のはら）
雪,ゆき
黄（黄色）,き（きいろ）
黒い,くろい
絵,え
晴れる,はれる
朝,あさ
雲,くも
番,ばん
道,みち
場（場所）,ば（ばしょ）
答える,こたえる
買う,かう
間,あいだ
楽しい,たのしい
園（公園）,えん（こうえん）
歌,うた
遠い,とおい
数,かず
話す,はなす
電（電気）,でん（でんき）
新しい,あたらしい
聞く,きく
語る,かたる（＝はなす）
算（算数）,さん（さんすう）
読む,よむ
鳴く,なく
線,せん
頭,あたま
親,おや
曜（曜日）,よう（ようび）
顔,かお
