漢字,読み
一,いち
二,に
三,さん
四,よん
五,ご
六,ろく
七,なな
八,はち
九,きゅう
十,じゅう
人,ひと
力,ちから
入る,はいる
千,せん（＝1000）
子,こ
女,おんな
上,うえ
下,した
大きい,おおきい
小さい,ちいさい
山,やま
川,かわ
土,つち
夕（夕日）,ゆう（ゆうひ）
口,くち
月,つき
火,ひ
水,みず
木,き
日,ひ
円い,まるい
天（天気）,てん（てんき）
文（作文）,ぶん（さくぶん＝じぶんで かく おはなし）
中,なか
王（王様）,おう（おうさま）
犬,いぬ
手,て
生きる,いきる
本,ほん
右,みぎ
左,ひだり
白,しろ
正しい,ただしい
田（田んぼ）,た（たんぼ）
目,め
立つ,たつ
出る,でる
玉,たま
石,いし
百,ひゃく
名（名前）,な（なまえ）
休む,やすむ
先,さき
気（元気）,き（げんき）
字（文字）,じ（もじ）
年,とし
早い,はやい
竹,たけ
虫,むし
糸,いと
耳,みみ
花,はな
男,おとこ
町,まち
赤い,あかい
見る,みる
貝,かい
足,あし
車,くるま
村,むら
青い,あおい
空,そら
雨,あめ
林,はやし（＝ちいさい もり）
学ぶ,まなぶ（＝べんきょうする）
金,かね
音,おと
草,くさ
校（学校）,こう（がっこう）
森,もり
