漢字,読み
丁（包丁）,ちょう（ほうちょう）
予（予定）,よ（よてい）
反る,そる
化ける,ばける
区（区別）,く（くべつ＝わけて かんがえる）
礼（お礼）,れい（おれい）
由（自由）,ゆ（じゆう）
代わる,かわる
打つ,うつ
平ら,たいら
氷,こおり
皮,かわ
他,ほか
世（世界）,せ（せかい）
申す,もうす（＝いう）
主（主人）,しゅ（しゅじん＝おっと、いえの ぬし）
写す,うつす
仕える,つかえる（＝けらいに なる）
皿,さら
号（番号）,ごう（ばんごう）
去る,さる
央（中央）,おう（ちゅうおう）
列,れつ
両（両親）,りょう（りょうしん）
羊,ひつじ
州（九州）,しゅう（きゅうしゅう）
守る,まもる
有る,ある
全て,すべて
式,しき
次,つぎ
死ぬ,しぬ
向かう,むかう
血,ち
曲がる,まがる
安い,やすい
役（役者）,やく（やくしゃ）
返す,かえす
豆,まめ
投げる,なげる
対（反対）,たい（はんたい）
身,み
助ける,たすける
君,きみ
局（郵便局）,きょく（ゆうびんきょく）
究（研究）,きゅう（けんきゅう＝くわしく しらべる）
住む,すむ
坂,さか
決める,きめる
医（医者）,い（いしゃ）
和（平和）,わ（へいわ）
油,あぶら
命,いのち
味,あじ
放す,はなす
物,もの
服,ふく
注ぐ,そそぐ
昔,むかし
所,ところ
表,おもて
板,いた
波,なみ
定める,さだめる（＝きめる）
受ける,うける
取る,とる
者,もの
実,み
事,こと
始める,はじめる
使う,つかう
幸せ,しあわせ
具（道具）,ぐ（どうぐ）
苦しい,くるしい
岸,きし
泳ぐ,およぐ
育てる,そだてる
委ねる,ゆだねる（＝まかせる）
洋（洋服）,よう（ようふく）
面,めん
負ける,まける
品,しな
秒,びょう
追う,おう
柱,はしら
炭,すみ
待つ,まつ
送る,おくる
相（相手）,あい（あいて）
美しい,うつくしい
発（発音）,はつ（はつおん）
畑,はたけ
度,ど
神,かみ
乗る,のる
昭（昭和）,しょう（しょうわ＝むかしの ねんごう）
重い,おもい
拾う,ひろう
持つ,もつ
指,ゆび
県,けん
研（研究）,けん（けんきゅう＝くわしく しらべる）
係,かかり
級,きゅう
急ぐ,いそぐ
客（お客）,きゃく（おきゃく）
界（世界）,かい（せかい）
屋（屋根）,や（やね）
旅,たび
流れる,ながれる
勉（勉強）,べん（べんきょう）
病（病気）,びょう（びょうき）
速い,はやい
息,いき
真（真っ赤）,ま（まっか）
消す,けす
酒,さけ
倍,ばい
配る,くばる
島,しま
庭,にわ
根,ね
庫（倉庫）,こ（そうこ＝ものを しまう ばしょ）
宮,みや
起きる,おきる
荷（荷物）,に（にもつ）
院（病院）,いん（びょういん）
員（店員）,いん（てんいん）
問う,とう
部（全部）,ぶ（ぜんぶ）
動く,うごく
都（京都）,と（きょうと）
転ぶ,ころぶ
進む,すすむ
笛,ふえ
帳（手帳）,ちょう（てちょう）
第（第一）,だい（だいいち）
族（家族）,ぞく（かぞく）
深い,ふかい
章（文章）,しょう（ぶんしょう＝ことばを ならべた もの）
商（商店）,しょう（しょうてん＝みせ）
宿,やど（＝とまる ばしょ）
習う,ならう
終わる,おわる
祭り,まつり
球（野球）,きゅう（やきゅう）
悪い,わるい
落ちる,おちる
陽（太陽）,よう（たいよう）
葉,は
遊ぶ,あそぶ
等しい,ひとしい（＝おなじ）
湯（お湯）,ゆ（おゆ）
登る,のぼる
筆,ふで
悲しい,かなしい
童（童話）,どう（どうわ）
着る,きる
短い,みじかい
植える,うえる
勝つ,かつ
暑い,あつい
集める,あつめる
歯,は
港,みなと
湖,みずうみ
軽い,かるい
期（学期）,き（がっき）
寒い,さむい
階,かい
開く,ひらく
温かい,あたたかい
運ぶ,はこぶ
飲む,のむ
路（道路）,ろ（どうろ）
福（幸福）,ふく（こうふく＝しあわせ）
詩（詩人）,し（しじん＝しを つくる ひと）
業（授業）,ぎょう（じゅぎょう）
農（農業）,のう（のうぎょう）
鉄,てつ
想（想像）,そう（そうぞう）
漢（漢字）,かん（かんじ）
感（感動）,かん（かんどう＝こころが うごく）
意（意味）,い（いみ）
暗い,くらい
練る,ねる
緑,みどり
鼻,はな
銀,ぎん
様,さま
駅,えき
箱,はこ
談（相談）,だん（そうだん）
調べる,しらべる
横,よこ
薬,くすり
橋,はし
整える,ととのえる
館（図書館）,かん（としょかん）
題（問題）,だい（もんだい）
