漢字,読み
亡（死亡）,ぼう（しぼう）
寸（寸法）,すん（すんぽう）
己（自己）,こ（じこ）
干す,ほす
片（片方）,かた（かたほう）
仁,じん
収める,おさめる
尺,しゃく
幼い,おさない
庁（県庁）,ちょう（けんちょう）
処（処理）,しょ（しょり）
冊,さつ
穴,あな
宅（自宅）,たく（じたく）
存（存在）,そん（そんざい）
舌,した
至る,いたる
后（皇后）,こう（こうごう）
吸う,すう
机,つくえ
危ない,あぶない
灰,はい
宇（宇宙）,う（うちゅう）
卵,たまご
乱れる,みだれる
忘れる,わすれる
批（批判）,ひ（ひはん）
否（否定）,ひ（ひてい）
私,わたし
困る,こまる
孝（親孝行）,こう（おやこうこう）
系（体系）,けい（たいけい）
我,われ
枚,まい
宝,たから
並ぶ,ならぶ
拝む,おがむ
乳,ちち
届く,とどく
忠（忠実）,ちゅう（ちゅうじつ）
宙（宇宙）,ちゅう（うちゅう）
担（担当）,たん（たんとう）
垂れる,たれる
承（承知）,しょう（しょうち）
宗（宗教）,しゅう（しゅうきょう）
若い,わかい
刻む,きざむ
呼ぶ,よぶ
券（入場券）,けん（にゅうじょうけん）
供える,そなえる
拡（拡大）,かく（かくだい）
沿う,そう
延びる,のびる
律（法律）,りつ（ほうりつ）
肺（肺活量）,はい（はいかつりょう）
背,せ
派（派手）,は（はで）
段（階段）,だん（かいだん）
退く,しりぞく
奏（演奏）,そう（えんそう）
染める,そめる
洗う,あらう
泉,いずみ
専（専門）,せん（せんもん）
宣（宣伝）,せん（せんでん）
姿,すがた
砂,すな
紅（紅茶）,こう（こうちゃ）
皇（皇室）,こう（こうしつ）
看（看護）,かん（かんご）
巻く,まく
革（改革）,かく（かいかく）
映る,うつる
胃（胃腸）,い（いちょう）
朗（朗読）,ろう（ろうどく）
陛（陛下）,へい（へいか）
俵,たわら
秘（秘密）,ひ（ひみつ）
班（班長）,はん（はんちょう）
俳（俳優）,はい（はいゆう）
納める,おさめる
討（討論）,とう（とうろん）
党（政党）,とう（せいとう）
展（展示）,てん（てんじ）
値（値段）,ね（ねだん）
針,はり
将（将来）,しょう（しょうらい）
除く,のぞく
純（純粋）,じゅん（じゅんすい）
従う,したがう
射る,いる
蚕,かいこ
座（座席）,ざ（ざせき）
骨,ほね
降る,ふる
胸,むね
株,かぶ
恩（恩人）,おん（おんじん）
翌（翌日）,よく（よくじつ）
欲（欲望）,よく（よくぼう）
郵（郵便）,ゆう（ゆうびん）
訳,わけ
密（秘密）,みつ（ひみつ）
訪ねる,たずねる
閉じる,とじる
脳（頭脳）,のう（ずのう）
頂（頂上）,ちょう（ちょうじょう）
著（著者）,ちょ（ちょしゃ）
探す,さがす
窓,まど
盛る,もる
推（推理）,すい（すいり）
捨てる,すてる
視（視力）,し（しりょく）
済む,すむ
郷（故郷）,きょう（こきょう）
域（地域）,いき（ちいき）
異なる,ことなる
棒,ぼう
補う,おぎなう
晩（今晩）,ばん（こんばん）
痛い,いたい
尊い,とうとい
装（包装）,そう（ほうそう）
創る,つくる
善い,よい
衆（観衆）,しゅう（かんしゅう）
就（就職）,しゅう（しゅうしょく）
詞（歌詞）,し（かし）
策（対策）,さく（たいさく）
裁く,さばく
敬う,うやまう
筋,すじ
勤める,つとめる
貴（貴族）,き（きぞく）
揮（指揮）,き（しき）
割る,わる
裏,うら
預ける,あずける
盟（同盟）,めい（どうめい）
幕（開幕）,まく（かいまく）
腹,はら
賃（家賃）,ちん（やちん）
腸（大腸）,ちょう（だいちょう）
暖かい,あたたかい
誠（誠実）,せい（せいじつ）
聖（聖書）,せい（せいしょ）
蒸（蒸気）,じょう（じょうき）
傷,きず
署（警察署）,しょ（けいさつしょ）
源,みなもと
絹,きぬ
模（模型）,も（もけい）
暮らす,くらす
認める,みとめる
層（高層）,そう（こうそう）
銭（銭湯）,せん（せんとう）
障（故障）,しょう（こしょう）
磁（磁石）,じ（じしゃく）
誌（雑誌）,し（ざっし）
穀（穀物）,こく（こくもつ）
誤る,あやまる
疑う,うたがう
閣（内閣）,かく（ないかく）
論（議論）,ろん（ぎろん）
敵,てき
潮,しお
誕（誕生日）,たん（たんじょうび）
蔵（冷蔵庫）,ぞう（れいぞうこ）
諸（諸国）,しょ（しょこく）
熟（成熟）,じゅく（せいじゅく）
権（権利）,けん（けんり）
劇（劇場）,げき（げきじょう）
遺（遺産）,い（いさん）
奮う,ふるう
糖（砂糖）,とう（さとう）
操（操作）,そう（そうさ）
縦,たて
樹（樹木）,じゅ（じゅもく）
鋼（鉄鋼）,こう（てっこう）
憲（憲法）,けん（けんぽう）
激しい,はげしい
覧（観覧）,らん（かんらん）
優（優勝）,ゆう（ゆうしょう）
縮む,ちぢむ
厳しい,きびしい
臨（臨時）,りん（りんじ）
難しい,むずかしい
簡（簡単）,かん（かんたん）
臓（心臓）,ぞう（しんぞう）
警（警察）,けい（けいさつ）
